Sport,Discipline,Code,Sports Governing Body,Year,Event_Count
Wrestling,Freestyle,WRF,UWW,1928,7
Wrestling,Greco-Roman,WRG,UWW,1928,6
Skating,Figure,FSK,ISU,1928,0
Ice Hockey,Ice Hockey,IHO,IIHF,1928,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1932,0
Aquatics,Diving,DIV,World Aquatics,1932,4
Aquatics,Marathon Swimming,OWS,World Aquatics,1932,0
Aquatics,Swimming,SWM,World Aquatics,1932,11
Aquatics,Water Polo,WPO,World Aquatics,1932,1
Archery,Archery,ARC,World Archery,1932,0
Athletics,Athletics,ATH,World Athletics,1932,29
Badminton,Badminton,BDM,BWF,1932,0
Baseball?and Softball,Baseball,BSB,WBSC,1932,0
Baseball?and Softball,Softball,SBL,WBSC,1932,0
Basketball,3x3,BK3,FIBA,1932,0
Basketball,Basketball,BKB,FIBA,1932,0
Basque Pelota,Basque Pelota,PEL,FIPV,1932,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1932,8
Breaking,Breaking,BKG,WDSF,1932,0
Canoeing,Sprint,CSP,ICF,1932,0
Canoeing,Slalom,CSL,ICF,1932,0
Cricket,Cricket,CKT,ICC,1932,0
Croquet,Croquet,CQT,WCF,1932,0
Cycling,BMX Freestyle,BMF,UCI,1932,0
Cycling,BMX Racing,BMX,UCI,1932,0
Cycling,Mountain Bike,MTB,UCI,1932,0
Cycling,Road,CRD,UCI,1932,2
Cycling,Track,CTR,UCI,1932,4
Equestrian,Dressage,EDR,FEI,1932,2
Equestrian,Eventing,EVE,FEI,1932,2
Equestrian,Jumping,EJP,FEI,1932,2
Equestrian,Vaulting,EVL,FEI,1932,0
Equestrian,Driving,EDV,FEI,1932,0
Fencing,Fencing,FEN,FIE,1932,7
Field hockey,Field hockey,HOC,FIH,1932,1
Flag football,Flag football,AFB,IFAF,1932,0
Football,Football,FBL,FIFA,1932,0
Golf,Golf,GLF,IGF,1932,0
Gymnastics,Artistic,GAR,FIG,1932,11
Gymnastics,Rhythmic,GRY,FIG,1932,0
Gymnastics,Trampoline,GTR,FIG,1932,0
Handball,Indoor,HBL,IHF,1932,0
Handball,Field,HBL,IHF,1932,0
Jeu de Paume,Jeu de Paume,?,?,1932,0
Judo,Judo,JUD,IJF,1932,0
Karate,Karate,KTE,WKF,1932,0
Lacrosse,Sixes,LAX,WL,1932,0
Lacrosse,Field,LAX,WL,1932,0
Modern Pentathlon,,MPN,UIPM,1932,1
Polo,Polo,POL,FIP,1932,0
Rackets,Rackets,RQT,?,1932,0
Roque,Roque,?,?,1932,0
Rowing,Coastal,ROC,World Rowing,1932,0
Rowing,Rowing,ROW,World Rowing,1932,7
Rugby,Sevens,RU7,World Rugby,1932,0
Rugby,Union,RUG,World Rugby,1932,0
Sailing,Sailing,SAL,World Sailing,1932,4
Shooting,Shooting,SHO,ISSF,1932,2
Skateboarding,Skateboarding,SKB,World Skate,1932,0
Sport Climbing,Sport Climbing,CLB,IFSC,1932,0
Squash,Squash,SQU,WSF,1932,0
Surfing,Surfing,SRF,ISA,1932,0
Table Tennis,Table Tennis,TTE,ITTF,1932,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1932,0
Tennis,Tennis,TEN,ITF,1932,0
Triathlon,Triathlon,TRI,World Triathlon,1932,0
Tug of War,Tug of War,TOW,TWIF,1932,0
Volleyball,Beach,VBV,FIVB,1932,0
Volleyball,Indoor,VVO,FIVB,1932,0
Water Motorsports,,PBT,UIM,1932,0
Weightlifting,Weightlifting,WLF,IWF,1932,5
Wrestling,Freestyle,WRF,UWW,1932,7
Wrestling,Greco-Roman,WRG,UWW,1932,7
Skating,Figure,FSK,ISU,1932,0
Ice Hockey,Ice Hockey,IHO,IIHF,1932,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1936,0
Aquatics,Diving,DIV,World Aquatics,1936,4
Aquatics,Marathon Swimming,OWS,World Aquatics,1936,0
Aquatics,Swimming,SWM,World Aquatics,1936,11
Aquatics,Water Polo,WPO,World Aquatics,1936,1
Archery,Archery,ARC,World Archery,1936,0
Athletics,Athletics,ATH,World Athletics,1936,29
Badminton,Badminton,BDM,BWF,1936,0
Baseball?and Softball,Baseball,BSB,WBSC,1936,0
Baseball?and Softball,Softball,SBL,WBSC,1936,0
Basketball,3x3,BK3,FIBA,1936,0
Basketball,Basketball,BKB,FIBA,1936,1
Basque Pelota,Basque Pelota,PEL,FIPV,1936,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1936,8
Breaking,Breaking,BKG,WDSF,1936,0
Canoeing,Sprint,CSP,ICF,1936,9
Canoeing,Slalom,CSL,ICF,1936,0
Cricket,Cricket,CKT,ICC,1936,0
Croquet,Croquet,CQT,WCF,1936,0
Cycling,BMX Freestyle,BMF,UCI,1936,0
Cycling,BMX Racing,BMX,UCI,1936,0
Cycling,Mountain Bike,MTB,UCI,1936,0
Cycling,Road,CRD,UCI,1936,2
Cycling,Track,CTR,UCI,1936,4
Equestrian,Dressage,EDR,FEI,1936,2
Equestrian,Eventing,EVE,FEI,1936,2
Equestrian,Jumping,EJP,FEI,1936,2
Equestrian,Vaulting,EVL,FEI,1936,0
Equestrian,Driving,EDV,FEI,1936,0
Fencing,Fencing,FEN,FIE,1936,7
Field hockey,Field hockey,HOC,FIH,1936,1
Flag football,Flag football,AFB,IFAF,1936,0
Football,Football,FBL,FIFA,1936,1
Golf,Golf,GLF,IGF,1936,0
Gymnastics,Artistic,GAR,FIG,1936,9
Gymnastics,Rhythmic,GRY,FIG,1936,0
Gymnastics,Trampoline,GTR,FIG,1936,0
Handball,Indoor,HBL,IHF,1936,0
Handball,Field,HBL,IHF,1936,1
Jeu de Paume,Jeu de Paume,?,?,1936,0
Judo,Judo,JUD,IJF,1936,0
Karate,Karate,KTE,WKF,1936,0
Lacrosse,Sixes,LAX,WL,1936,0
Lacrosse,Field,LAX,WL,1936,0
Modern Pentathlon,,MPN,UIPM,1936,1
Polo,Polo,POL,FIP,1936,1
Rackets,Rackets,RQT,?,1936,0
Roque,Roque,?,?,1936,0
Rowing,Coastal,ROC,World Rowing,1936,0
Rowing,Rowing,ROW,World Rowing,1936,7
Rugby,Sevens,RU7,World Rugby,1936,0
Rugby,Union,RUG,World Rugby,1936,0
Sailing,Sailing,SAL,World Sailing,1936,4
Shooting,Shooting,SHO,ISSF,1936,3
Skateboarding,Skateboarding,SKB,World Skate,1936,0
Sport Climbing,Sport Climbing,CLB,IFSC,1936,0
Squash,Squash,SQU,WSF,1936,0
Surfing,Surfing,SRF,ISA,1936,0
Table Tennis,Table Tennis,TTE,ITTF,1936,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1936,0
Tennis,Tennis,TEN,ITF,1936,0
Triathlon,Triathlon,TRI,World Triathlon,1936,0
Tug of War,Tug of War,TOW,TWIF,1936,0
Volleyball,Beach,VBV,FIVB,1936,0
Volleyball,Indoor,VVO,FIVB,1936,0
Water Motorsports,,PBT,UIM,1936,0
Weightlifting,Weightlifting,WLF,IWF,1936,5
Wrestling,Freestyle,WRF,UWW,1936,7
Wrestling,Greco-Roman,WRG,UWW,1936,7
Skating,Figure,FSK,ISU,1936,0
Ice Hockey,Ice Hockey,IHO,IIHF,1936,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1948,0
Aquatics,Diving,DIV,World Aquatics,1948,4
Aquatics,Marathon Swimming,OWS,World Aquatics,1948,0
Aquatics,Swimming,SWM,World Aquatics,1948,11
Aquatics,Water Polo,WPO,World Aquatics,1948,1
Archery,Archery,ARC,World Archery,1948,0
Athletics,Athletics,ATH,World Athletics,1948,33
Badminton,Badminton,BDM,BWF,1948,0
Baseball?and Softball,Baseball,BSB,WBSC,1948,0
Baseball?and Softball,Softball,SBL,WBSC,1948,0
Basketball,3x3,BK3,FIBA,1948,0
Basketball,Basketball,BKB,FIBA,1948,1
Basque Pelota,Basque Pelota,PEL,FIPV,1948,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1948,8
Breaking,Breaking,BKG,WDSF,1948,0
Canoeing,Sprint,CSP,ICF,1948,9
Canoeing,Slalom,CSL,ICF,1948,0
Cricket,Cricket,CKT,ICC,1948,0
Croquet,Croquet,CQT,WCF,1948,0
Cycling,BMX Freestyle,BMF,UCI,1948,0
Cycling,BMX Racing,BMX,UCI,1948,0
Cycling,Mountain Bike,MTB,UCI,1948,0
Cycling,Road,CRD,UCI,1948,2
Cycling,Track,CTR,UCI,1948,4
Equestrian,Dressage,EDR,FEI,1948,2
Equestrian,Eventing,EVE,FEI,1948,2
Equestrian,Jumping,EJP,FEI,1948,2
Equestrian,Vaulting,EVL,FEI,1948,0
Equestrian,Driving,EDV,FEI,1948,0
Fencing,Fencing,FEN,FIE,1948,7
Field hockey,Field hockey,HOC,FIH,1948,1
Flag football,Flag football,AFB,IFAF,1948,0
Football,Football,FBL,FIFA,1948,1
Golf,Golf,GLF,IGF,1948,0
Gymnastics,Artistic,GAR,FIG,1948,9
Gymnastics,Rhythmic,GRY,FIG,1948,0
Gymnastics,Trampoline,GTR,FIG,1948,0
Handball,Indoor,HBL,IHF,1948,0
Handball,Field,HBL,IHF,1948,0
Jeu de Paume,Jeu de Paume,?,?,1948,0
Judo,Judo,JUD,IJF,1948,0
Karate,Karate,KTE,WKF,1948,0
Lacrosse,Sixes,LAX,WL,1948,0
Lacrosse,Field,LAX,WL,1948,0
Modern Pentathlon,,MPN,UIPM,1948,1
Polo,Polo,POL,FIP,1948,0
Rackets,Rackets,RQT,?,1948,0
Roque,Roque,?,?,1948,0
Rowing,Coastal,ROC,World Rowing,1948,0
Rowing,Rowing,ROW,World Rowing,1948,7
Rugby,Sevens,RU7,World Rugby,1948,0
Rugby,Union,RUG,World Rugby,1948,0
Sailing,Sailing,SAL,World Sailing,1948,5
Shooting,Shooting,SHO,ISSF,1948,4
Skateboarding,Skateboarding,SKB,World Skate,1948,0
Sport Climbing,Sport Climbing,CLB,IFSC,1948,0
Squash,Squash,SQU,WSF,1948,0
Surfing,Surfing,SRF,ISA,1948,0
Table Tennis,Table Tennis,TTE,ITTF,1948,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1948,0
Tennis,Tennis,TEN,ITF,1948,0
Triathlon,Triathlon,TRI,World Triathlon,1948,0
Tug of War,Tug of War,TOW,TWIF,1948,0
Volleyball,Beach,VBV,FIVB,1948,0
Volleyball,Indoor,VVO,FIVB,1948,0
Water Motorsports,,PBT,UIM,1948,0
Weightlifting,Weightlifting,WLF,IWF,1948,6
Wrestling,Freestyle,WRF,UWW,1948,8
Wrestling,Greco-Roman,WRG,UWW,1948,8
Skating,Figure,FSK,ISU,1948,0
Ice Hockey,Ice Hockey,IHO,IIHF,1948,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1952,0
Aquatics,Diving,DIV,World Aquatics,1952,4
Aquatics,Marathon Swimming,OWS,World Aquatics,1952,0
Aquatics,Swimming,SWM,World Aquatics,1952,11
Aquatics,Water Polo,WPO,World Aquatics,1952,1
Archery,Archery,ARC,World Archery,1952,0
Athletics,Athletics,ATH,World Athletics,1952,33
Badminton,Badminton,BDM,BWF,1952,0
Baseball?and Softball,Baseball,BSB,WBSC,1952,0
Baseball?and Softball,Softball,SBL,WBSC,1952,0
Basketball,3x3,BK3,FIBA,1952,0
Basketball,Basketball,BKB,FIBA,1952,1
Basque Pelota,Basque Pelota,PEL,FIPV,1952,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1952,10
Breaking,Breaking,BKG,WDSF,1952,0
Canoeing,Sprint,CSP,ICF,1952,9
Canoeing,Slalom,CSL,ICF,1952,0
Cricket,Cricket,CKT,ICC,1952,0
Croquet,Croquet,CQT,WCF,1952,0
Cycling,BMX Freestyle,BMF,UCI,1952,0
Cycling,BMX Racing,BMX,UCI,1952,0
Cycling,Mountain Bike,MTB,UCI,1952,0
Cycling,Road,CRD,UCI,1952,2
Cycling,Track,CTR,UCI,1952,4
Equestrian,Dressage,EDR,FEI,1952,2
Equestrian,Eventing,EVE,FEI,1952,2
Equestrian,Jumping,EJP,FEI,1952,2
Equestrian,Vaulting,EVL,FEI,1952,0
Equestrian,Driving,EDV,FEI,1952,0
Fencing,Fencing,FEN,FIE,1952,7
Field hockey,Field hockey,HOC,FIH,1952,1
Flag football,Flag football,AFB,IFAF,1952,0
Football,Football,FBL,FIFA,1952,1
Golf,Golf,GLF,IGF,1952,0
Gymnastics,Artistic,GAR,FIG,1952,15
Gymnastics,Rhythmic,GRY,FIG,1952,0
Gymnastics,Trampoline,GTR,FIG,1952,0
Handball,Indoor,HBL,IHF,1952,0
Handball,Field,HBL,IHF,1952,0
Jeu de Paume,Jeu de Paume,?,?,1952,0
Judo,Judo,JUD,IJF,1952,0
Karate,Karate,KTE,WKF,1952,0
Lacrosse,Sixes,LAX,WL,1952,0
Lacrosse,Field,LAX,WL,1952,0
Modern Pentathlon,,MPN,UIPM,1952,2
Polo,Polo,POL,FIP,1952,0
Rackets,Rackets,RQT,?,1952,0
Roque,Roque,?,?,1952,0
Rowing,Coastal,ROC,World Rowing,1952,0
Rowing,Rowing,ROW,World Rowing,1952,7
Rugby,Sevens,RU7,World Rugby,1952,0
Rugby,Union,RUG,World Rugby,1952,0
Sailing,Sailing,SAL,World Sailing,1952,5
Shooting,Shooting,SHO,ISSF,1952,7
Skateboarding,Skateboarding,SKB,World Skate,1952,0
Sport Climbing,Sport Climbing,CLB,IFSC,1952,0
Squash,Squash,SQU,WSF,1952,0
Surfing,Surfing,SRF,ISA,1952,0
Table Tennis,Table Tennis,TTE,ITTF,1952,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1952,0
Tennis,Tennis,TEN,ITF,1952,0
Triathlon,Triathlon,TRI,World Triathlon,1952,0
Tug of War,Tug of War,TOW,TWIF,1952,0
Volleyball,Beach,VBV,FIVB,1952,0
Volleyball,Indoor,VVO,FIVB,1952,0
Water Motorsports,,PBT,UIM,1952,0
Weightlifting,Weightlifting,WLF,IWF,1952,7
Wrestling,Freestyle,WRF,UWW,1952,8
Wrestling,Greco-Roman,WRG,UWW,1952,8
Skating,Figure,FSK,ISU,1952,0
Ice Hockey,Ice Hockey,IHO,IIHF,1952,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1956,0
Aquatics,Diving,DIV,World Aquatics,1956,4
Aquatics,Marathon Swimming,OWS,World Aquatics,1956,0
Aquatics,Swimming,SWM,World Aquatics,1956,13
Aquatics,Water Polo,WPO,World Aquatics,1956,1
Archery,Archery,ARC,World Archery,1956,0
Athletics,Athletics,ATH,World Athletics,1956,33
Badminton,Badminton,BDM,BWF,1956,0
Baseball?and Softball,Baseball,BSB,WBSC,1956,0
Baseball?and Softball,Softball,SBL,WBSC,1956,0
Basketball,3x3,BK3,FIBA,1956,0
Basketball,Basketball,BKB,FIBA,1956,1
Basque Pelota,Basque Pelota,PEL,FIPV,1956,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1956,10
Breaking,Breaking,BKG,WDSF,1956,0
Canoeing,Sprint,CSP,ICF,1956,9
Canoeing,Slalom,CSL,ICF,1956,0
Cricket,Cricket,CKT,ICC,1956,0
Croquet,Croquet,CQT,WCF,1956,0
Cycling,BMX Freestyle,BMF,UCI,1956,0
Cycling,BMX Racing,BMX,UCI,1956,0
Cycling,Mountain Bike,MTB,UCI,1956,0
Cycling,Road,CRD,UCI,1956,2
Cycling,Track,CTR,UCI,1956,4
Equestrian,Dressage,EDR,FEI,1956,2
Equestrian,Eventing,EVE,FEI,1956,2
Equestrian,Jumping,EJP,FEI,1956,2
Equestrian,Vaulting,EVL,FEI,1956,0
Equestrian,Driving,EDV,FEI,1956,0
Fencing,Fencing,FEN,FIE,1956,7
Field hockey,Field hockey,HOC,FIH,1956,1
Flag football,Flag football,AFB,IFAF,1956,0
Football,Football,FBL,FIFA,1956,1
Golf,Golf,GLF,IGF,1956,0
Gymnastics,Artistic,GAR,FIG,1956,15
Gymnastics,Rhythmic,GRY,FIG,1956,0
Gymnastics,Trampoline,GTR,FIG,1956,0
Handball,Indoor,HBL,IHF,1956,0
Handball,Field,HBL,IHF,1956,0
Jeu de Paume,Jeu de Paume,?,?,1956,0
Judo,Judo,JUD,IJF,1956,0
Karate,Karate,KTE,WKF,1956,0
Lacrosse,Sixes,LAX,WL,1956,0
Lacrosse,Field,LAX,WL,1956,0
Modern Pentathlon,,MPN,UIPM,1956,2
Polo,Polo,POL,FIP,1956,0
Rackets,Rackets,RQT,?,1956,0
Roque,Roque,?,?,1956,0
Rowing,Coastal,ROC,World Rowing,1956,0
Rowing,Rowing,ROW,World Rowing,1956,7
Rugby,Sevens,RU7,World Rugby,1956,0
Rugby,Union,RUG,World Rugby,1956,0
Sailing,Sailing,SAL,World Sailing,1956,5
Shooting,Shooting,SHO,ISSF,1956,7
Skateboarding,Skateboarding,SKB,World Skate,1956,0
Sport Climbing,Sport Climbing,CLB,IFSC,1956,0
Squash,Squash,SQU,WSF,1956,0
Surfing,Surfing,SRF,ISA,1956,0
Table Tennis,Table Tennis,TTE,ITTF,1956,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1956,0
Tennis,Tennis,TEN,ITF,1956,0
Triathlon,Triathlon,TRI,World Triathlon,1956,0
Tug of War,Tug of War,TOW,TWIF,1956,0
Volleyball,Beach,VBV,FIVB,1956,0
Volleyball,Indoor,VVO,FIVB,1956,0
Water Motorsports,,PBT,UIM,1956,0
Weightlifting,Weightlifting,WLF,IWF,1956,7
Wrestling,Freestyle,WRF,UWW,1956,8
Wrestling,Greco-Roman,WRG,UWW,1956,8
Skating,Figure,FSK,ISU,1956,0
Ice Hockey,Ice Hockey,IHO,IIHF,1956,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1960,0
Aquatics,Diving,DIV,World Aquatics,1960,4
Aquatics,Marathon Swimming,OWS,World Aquatics,1960,0
Aquatics,Swimming,SWM,World Aquatics,1960,15
Aquatics,Water Polo,WPO,World Aquatics,1960,1
Archery,Archery,ARC,World Archery,1960,0
Athletics,Athletics,ATH,World Athletics,1960,34
Badminton,Badminton,BDM,BWF,1960,0
Baseball?and Softball,Baseball,BSB,WBSC,1960,0
Baseball?and Softball,Softball,SBL,WBSC,1960,0
Basketball,3x3,BK3,FIBA,1960,0
Basketball,Basketball,BKB,FIBA,1960,1
Basque Pelota,Basque Pelota,PEL,FIPV,1960,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1960,10
Breaking,Breaking,BKG,WDSF,1960,0
Canoeing,Sprint,CSP,ICF,1960,7
Canoeing,Slalom,CSL,ICF,1960,0
Cricket,Cricket,CKT,ICC,1960,0
Croquet,Croquet,CQT,WCF,1960,0
Cycling,BMX Freestyle,BMF,UCI,1960,0
Cycling,BMX Racing,BMX,UCI,1960,0
Cycling,Mountain Bike,MTB,UCI,1960,0
Cycling,Road,CRD,UCI,1960,2
Cycling,Track,CTR,UCI,1960,4
Equestrian,Dressage,EDR,FEI,1960,1
Equestrian,Eventing,EVE,FEI,1960,2
Equestrian,Jumping,EJP,FEI,1960,2
Equestrian,Vaulting,EVL,FEI,1960,0
Equestrian,Driving,EDV,FEI,1960,0
Fencing,Fencing,FEN,FIE,1960,8
Field hockey,Field hockey,HOC,FIH,1960,1
Flag football,Flag football,AFB,IFAF,1960,0
Football,Football,FBL,FIFA,1960,1
Golf,Golf,GLF,IGF,1960,0
Gymnastics,Artistic,GAR,FIG,1960,14
Gymnastics,Rhythmic,GRY,FIG,1960,0
Gymnastics,Trampoline,GTR,FIG,1960,0
Handball,Indoor,HBL,IHF,1960,0
Handball,Field,HBL,IHF,1960,0
Jeu de Paume,Jeu de Paume,?,?,1960,0
Judo,Judo,JUD,IJF,1960,0
Karate,Karate,KTE,WKF,1960,0
Lacrosse,Sixes,LAX,WL,1960,0
Lacrosse,Field,LAX,WL,1960,0
Modern Pentathlon,,MPN,UIPM,1960,2
Polo,Polo,POL,FIP,1960,0
Rackets,Rackets,RQT,?,1960,0
Roque,Roque,?,?,1960,0
Rowing,Coastal,ROC,World Rowing,1960,0
Rowing,Rowing,ROW,World Rowing,1960,7
Rugby,Sevens,RU7,World Rugby,1960,0
Rugby,Union,RUG,World Rugby,1960,0
Sailing,Sailing,SAL,World Sailing,1960,5
Shooting,Shooting,SHO,ISSF,1960,6
Skateboarding,Skateboarding,SKB,World Skate,1960,0
Sport Climbing,Sport Climbing,CLB,IFSC,1960,0
Squash,Squash,SQU,WSF,1960,0
Surfing,Surfing,SRF,ISA,1960,0
Table Tennis,Table Tennis,TTE,ITTF,1960,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1960,0
Tennis,Tennis,TEN,ITF,1960,0
Triathlon,Triathlon,TRI,World Triathlon,1960,0
Tug of War,Tug of War,TOW,TWIF,1960,0
Volleyball,Beach,VBV,FIVB,1960,0
Volleyball,Indoor,VVO,FIVB,1960,0
Water Motorsports,,PBT,UIM,1960,0
Weightlifting,Weightlifting,WLF,IWF,1960,7
Wrestling,Freestyle,WRF,UWW,1960,8
Wrestling,Greco-Roman,WRG,UWW,1960,8
Skating,Figure,FSK,ISU,1960,0
Ice Hockey,Ice Hockey,IHO,IIHF,1960,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1964,0
Aquatics,Diving,DIV,World Aquatics,1964,4
Aquatics,Marathon Swimming,OWS,World Aquatics,1964,0
Aquatics,Swimming,SWM,World Aquatics,1964,18
Aquatics,Water Polo,WPO,World Aquatics,1964,1
Archery,Archery,ARC,World Archery,1964,0
Athletics,Athletics,ATH,World Athletics,1964,36
Badminton,Badminton,BDM,BWF,1964,0
Baseball?and Softball,Baseball,BSB,WBSC,1964,0
Baseball?and Softball,Softball,SBL,WBSC,1964,0
Basketball,3x3,BK3,FIBA,1964,0
Basketball,Basketball,BKB,FIBA,1964,1
Basque Pelota,Basque Pelota,PEL,FIPV,1964,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1964,10
Breaking,Breaking,BKG,WDSF,1964,0
Canoeing,Sprint,CSP,ICF,1964,7
Canoeing,Slalom,CSL,ICF,1964,0
Cricket,Cricket,CKT,ICC,1964,0
Croquet,Croquet,CQT,WCF,1964,0
Cycling,BMX Freestyle,BMF,UCI,1964,0
Cycling,BMX Racing,BMX,UCI,1964,0
Cycling,Mountain Bike,MTB,UCI,1964,0
Cycling,Road,CRD,UCI,1964,2
Cycling,Track,CTR,UCI,1964,5
Equestrian,Dressage,EDR,FEI,1964,2
Equestrian,Eventing,EVE,FEI,1964,2
Equestrian,Jumping,EJP,FEI,1964,2
Equestrian,Vaulting,EVL,FEI,1964,0
Equestrian,Driving,EDV,FEI,1964,0
Fencing,Fencing,FEN,FIE,1964,8
Field hockey,Field hockey,HOC,FIH,1964,1
Flag football,Flag football,AFB,IFAF,1964,0
Football,Football,FBL,FIFA,1964,1
Golf,Golf,GLF,IGF,1964,0
Gymnastics,Artistic,GAR,FIG,1964,14
Gymnastics,Rhythmic,GRY,FIG,1964,0
Gymnastics,Trampoline,GTR,FIG,1964,0
Handball,Indoor,HBL,IHF,1964,0
Handball,Field,HBL,IHF,1964,0
Jeu de Paume,Jeu de Paume,?,?,1964,0
Judo,Judo,JUD,IJF,1964,4
Karate,Karate,KTE,WKF,1964,0
Lacrosse,Sixes,LAX,WL,1964,0
Lacrosse,Field,LAX,WL,1964,0
Modern Pentathlon,,MPN,UIPM,1964,2
Polo,Polo,POL,FIP,1964,0
Rackets,Rackets,RQT,?,1964,0
Roque,Roque,?,?,1964,0
Rowing,Coastal,ROC,World Rowing,1964,0
Rowing,Rowing,ROW,World Rowing,1964,7
Rugby,Sevens,RU7,World Rugby,1964,0
Rugby,Union,RUG,World Rugby,1964,0
Sailing,Sailing,SAL,World Sailing,1964,5
Shooting,Shooting,SHO,ISSF,1964,6
Skateboarding,Skateboarding,SKB,World Skate,1964,0
Sport Climbing,Sport Climbing,CLB,IFSC,1964,0
Squash,Squash,SQU,WSF,1964,0
Surfing,Surfing,SRF,ISA,1964,0
Table Tennis,Table Tennis,TTE,ITTF,1964,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1964,0
Tennis,Tennis,TEN,ITF,1964,0
Triathlon,Triathlon,TRI,World Triathlon,1964,0
Tug of War,Tug of War,TOW,TWIF,1964,0
Volleyball,Beach,VBV,FIVB,1964,0
Volleyball,Indoor,VVO,FIVB,1964,2
Water Motorsports,,PBT,UIM,1964,0
Weightlifting,Weightlifting,WLF,IWF,1964,7
Wrestling,Freestyle,WRF,UWW,1964,8
Wrestling,Greco-Roman,WRG,UWW,1964,8
Skating,Figure,FSK,ISU,1964,0
Ice Hockey,Ice Hockey,IHO,IIHF,1964,0
Aquatics,Artistic Swimming,SWA,World Aquatics,1968,0
Aquatics,Diving,DIV,World Aquatics,1968,4
Aquatics,Marathon Swimming,OWS,World Aquatics,1968,0
Aquatics,Swimming,SWM,World Aquatics,1968,29
Aquatics,Water Polo,WPO,World Aquatics,1968,1
Archery,Archery,ARC,World Archery,1968,0
Athletics,Athletics,ATH,World Athletics,1968,36
Badminton,Badminton,BDM,BWF,1968,0
Baseball?and Softball,Baseball,BSB,WBSC,1968,0
Baseball?and Softball,Softball,SBL,WBSC,1968,0
Basketball,3x3,BK3,FIBA,1968,0
Basketball,Basketball,BKB,FIBA,1968,1
Basque Pelota,Basque Pelota,PEL,FIPV,1968,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1968,11
Breaking,Breaking,BKG,WDSF,1968,0
Canoeing,Sprint,CSP,ICF,1968,7
Canoeing,Slalom,CSL,ICF,1968,0
Cricket,Cricket,CKT,ICC,1968,0
Croquet,Croquet,CQT,WCF,1968,0
Cycling,BMX Freestyle,BMF,UCI,1968,0
Cycling,BMX Racing,BMX,UCI,1968,0
Cycling,Mountain Bike,MTB,UCI,1968,0
Cycling,Road,CRD,UCI,1968,2
Cycling,Track,CTR,UCI,1968,5
Equestrian,Dressage,EDR,FEI,1968,2
Equestrian,Eventing,EVE,FEI,1968,2
Equestrian,Jumping,EJP,FEI,1968,2
Equestrian,Vaulting,EVL,FEI,1968,0
Equestrian,Driving,EDV,FEI,1968,0
Fencing,Fencing,FEN,FIE,1968,8
Field hockey,Field hockey,HOC,FIH,1968,1
Flag football,Flag football,AFB,IFAF,1968,0
Football,Football,FBL,FIFA,1968,1
Golf,Golf,GLF,IGF,1968,0
Gymnastics,Artistic,GAR,FIG,1968,14
Gymnastics,Rhythmic,GRY,FIG,1968,0
Gymnastics,Trampoline,GTR,FIG,1968,0
Handball,Indoor,HBL,IHF,1968,0
Handball,Field,HBL,IHF,1968,0
Jeu de Paume,Jeu de Paume,?,?,1968,0
Judo,Judo,JUD,IJF,1968,0
Karate,Karate,KTE,WKF,1968,0
Lacrosse,Sixes,LAX,WL,1968,0
Lacrosse,Field,LAX,WL,1968,0
Modern Pentathlon,,MPN,UIPM,1968,2
Polo,Polo,POL,FIP,1968,0
Rackets,Rackets,RQT,?,1968,0
Roque,Roque,?,?,1968,0
Rowing,Coastal,ROC,World Rowing,1968,0
Rowing,Rowing,ROW,World Rowing,1968,7
Rugby,Sevens,RU7,World Rugby,1968,0
Rugby,Union,RUG,World Rugby,1968,0
Sailing,Sailing,SAL,World Sailing,1968,5
Shooting,Shooting,SHO,ISSF,1968,7
Skateboarding,Skateboarding,SKB,World Skate,1968,0
Sport Climbing,Sport Climbing,CLB,IFSC,1968,0
Squash,Squash,SQU,WSF,1968,0
Surfing,Surfing,SRF,ISA,1968,0
Table Tennis,Table Tennis,TTE,ITTF,1968,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1968,0
Tennis,Tennis,TEN,ITF,1968,0
Triathlon,Triathlon,TRI,World Triathlon,1968,0
Tug of War,Tug of War,TOW,TWIF,1968,0
Volleyball,Beach,VBV,FIVB,1968,0
